ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,times_listened
2022-06-25T21:18:55Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",0,IN,122.176.178.134,unknown,Crush,Lucian,Crush,spotify:track:3QbZYjRHGaftgkqnq6Eavs,,,,clickrow,endplay,False,,False,1656191935838,False,2022,2.0
2022-06-25T21:18:55Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",8580,IN,122.176.178.134,unknown,UWU (Band Version),Chevy,UWU (Band Version),spotify:track:64Ah9PoTtvkGbOixo239hv,,,,clickrow,endplay,False,,False,1656191925136,False,2022,1.0
2022-06-25T21:19:20Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",7679,IN,122.176.178.134,unknown,Fantasy,khai dreams,Summer Is Like a Dream,spotify:track:0QMCxc6dP8ObzoJExJd5oc,,,,clickrow,endplay,False,,False,1656191951792,False,2022,1.0
2022-06-25T21:25:20Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",16696,IN,122.176.178.134,unknown,Smile,Nohidea,Smile,spotify:track:0Ys4J7iim6STsGeLmFLWIo,,,,trackdone,endplay,False,,False,1656192302486,False,2022,1.0
2022-06-25T21:25:30Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",8628,IN,122.176.178.134,unknown,Time Adventure,MathematicPony,Time Adventure,spotify:track:4oUKU94wqAW3sfVTuKPOyp,,,,clickrow,endplay,False,,False,1656192321173,False,2022,1.0
2022-06-25T21:25:51Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",18836,IN,122.176.178.134,unknown,Summer City,Chasing Madison,FILTER Vol. 2,spotify:track:5laQGrP8oC9vYs5XkFC9QU,,,,clickrow,endplay,False,,False,1656192331000,False,2022,1.0
2022-06-25T21:26:13Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",6918,IN,122.176.178.134,unknown,"Soldier, Poet, King",The Oh Hellos,Dear Wormwood,spotify:track:3xtiXNDbSKxy20I7D6vFUg,,,,clickrow,endplay,False,,False,1656192364831,False,2022,1.0
2022-06-25T21:26:19Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",1999,IN,122.176.178.134,unknown,Dance in the Living Room,NVTHVN,Dance in the Living Room,spotify:track:2jjuzjDbmVOI7kNCSxy5e4,,,,fwdbtn,endplay,False,,False,1656192377811,False,2022,1.0
2022-06-25T21:26:34Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",3718,IN,122.176.178.134,unknown,Weather,Freddie Dredd,Weather,spotify:track:4fvneyc3bVlvzUuvKU6MpM,,,,clickrow,endplay,False,,False,1656192388626,False,2022,1.0
2022-06-25T21:26:37Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",2622,IN,122.176.178.134,unknown,Tunnel of Love,ilyTOMMY,Tunnel of Love,spotify:track:1K4OfBFaLleSUaUVjp1l2X,,,,clickrow,endplay,False,,False,1656192394230,False,2022,1.0
